beta1	beta2
296.4249668754846	-3.104326884455668
284.72654280528826	-2.341446315265068
201.71120897505764	-0.7395443597311738
237.4837376596345	-1.1884103160698232
156.48639732642644	1.2119816017665874
246.9788871303022	-1.8241969115007435
338.62408133859947	-3.68746674083138
226.28680599410316	-0.7830560693668908
283.89474046529534	-2.3327396480950977
339.54996053053605	-3.9847586786747033
253.43264205670286	-1.7143719312299446
323.7032769651848	-3.6012804299994783
200.64195327291154	-0.38118152509735437
201.4991081288215	-0.5099237696660068
206.22661447136454	-0.40816058165671143
302.92572051087024	-3.077862840730581
268.82182144733963	-1.9950639245429234
279.10087560708826	-2.153768057596064
372.0785452106802	-4.724571507700245
270.89787493438826	-2.1058655796053527
277.16365508216643	-2.2388934931963296
364.51470645807143	-4.621030230320774
120.95843042744994	1.626853497471069
212.70254602471076	-0.7079085695749749
350.64043688918383	-4.361211397754392
188.969212999193	-0.09756977952749091
269.5694487930927	-2.1588416910282886
286.0434296621389	-2.4917416884927226
279.05662114824287	-2.5826765345447935
248.2617184544016	-1.6891750659321747
316.91722461200817	-3.43943008357415
295.2318408504279	-2.960686694023843
273.16091288776227	-2.3766662833553105
221.35815256650818	-1.0089130184815762
281.33429052185187	-2.1735434233106057
225.3152511256798	-0.9861278628589033
275.2273818464817	-2.370211016920452
374.2279515659115	-5.396279995014174
262.2980041418095	-1.9907812218070946
279.9695232701392	-2.4447918697860813
237.95932018000417	-1.4305395924385915
273.3180630493882	-2.381188026804974
217.66691994601018	-0.7374049686830791
250.70061083144154	-1.5084502800351556
243.2950749126947	-1.1125300439945474
295.30446404962265	-2.600515038203477
287.1597831082797	-2.537621421094501
250.28333541296806	-1.8628798883723927
309.82401520549257	-3.10412196451488
184.51695388546136	0.15084636518227912
283.55099718474384	-2.310373103890064
316.9169326160571	-3.3012697125249417
287.9220920038846	-2.437150697245419
252.6304019805997	-1.5154479017951292
331.3384996503249	-3.79457608648495
256.3513046690833	-1.7307553066224226
200.79965143317332	-0.44316062751750795
310.57229308864055	-3.289926120838645
213.30387068376643	-0.7849086808299144
279.6069871300401	-2.448285901408288
242.74873338075963	-1.4751491700380392
320.156168067372	-3.577440662605423
290.5100970795107	-2.625902180207551
332.4595593186336	-3.967655580359968
359.1730572687789	-4.693942622479735
338.5359911256241	-4.662503031826435
220.81569233732958	-0.8101305495187724
312.79385081954865	-3.221548895711062
247.2444307991275	-1.561569273016318
219.58022208573885	-0.39561351713427984
159.10107726962772	0.5751018402616168
252.3785703073203	-1.5732195609565112
311.69766344999925	-3.202918040316596
358.0574122057838	-4.4952185715196284
284.18693643723276	-2.514016589842423
334.56900738318717	-3.9977790805870432
437.0550979436371	-6.725067534378044
421.5553699809327	-6.262740045820067
251.5666621529628	-1.7682978212810592
235.95542036484684	-0.946628209951782
360.5514933942055	-6.071576748920797
314.0726319577447	-3.3009644332460737
220.83398129188396	-1.0203975594752648
253.67868437285082	-1.694860182623636
249.22160983652276	-2.1931155669845235
278.4201773053222	-2.6159328814647513
343.0692100931394	-4.577897324961457
360.4297970200183	-4.603755149560884
232.59741814190917	-0.9743283162245977
301.04204980820754	-2.813122643812107
288.8741461611233	-2.370700862320108
327.6554797465158	-3.5919826064559546
244.25631452671254	-1.4179718790053129
300.18077444238315	-2.7486610609943924
275.73794752682545	-2.285585650466072
290.1573188059675	-2.8627992629131214
293.03173227090303	-2.8002767204311785
279.2767031501828	-2.142384516882684
215.96102513184485	-0.47229176884148594
405.6560341321194	-6.215440519980384
288.6748983663822	-3.1545096164406203
1035.4536852217964	-27.092213767200825
301.6251229411535	-2.5306914219362935
426.4720012867202	-6.184584244722781
337.35646781098285	-3.694020965752402
433.0108990933174	-6.466487366226595
397.3234188631874	-5.999936164826221
278.38862534092135	-2.3104844688962145
278.5620631046309	-2.6095974700050526
238.80818455273436	-1.1852284364746615
204.36562610571633	-0.3311285719506628
241.41624919967427	-0.9311997476498941
330.89664969637283	-3.803704522433293
284.6975613697645	-2.848784803378809
194.29945412031304	0.0010493427082398257
262.3821027874781	-1.88384336766678
307.21108929349134	-3.5967668637752497
282.4703896715864	-2.438503738195887
342.5456994223459	-4.1161948604436
249.65704638163734	-1.5874492491403505
163.32638710670116	0.9284534958914212
303.92987308168824	-3.264965697495547
293.98388916412154	-2.6323246399623708
175.7800509247103	0.17955599237140266
226.82362527821715	-0.7758303670861759
248.70240379500927	-1.5098943291556117
301.2244552787859	-2.7784863796637342
209.39964295451094	-0.5265918988022622
258.2511570952388	-2.2856224118043023
316.366647946509	-3.3645388802494822
228.98724213836024	-0.6694622198909118
391.44723368384183	-5.618470029157654
406.457474714068	-6.239961472678981
258.06944001918885	-1.9018227571788808
322.8574000153782	-3.519695735944847
234.7603007637471	-1.2432783907669995
274.9773230934251	-2.031254431828742
251.1060049568124	-1.6366850942900575
315.9235707478943	-3.56893228960181
306.9329859630128	-3.4107218577505614
247.24141615883036	-1.4158639311428363
317.6283474264032	-3.5159152113316225
384.6424682616164	-5.329811966159982
246.06939514365473	-1.584490593907407
315.31377949740846	-2.996634593757292
279.8013085404471	-2.2781198299448473
305.43771350516516	-3.0592629594840774
250.8854267243159	-1.4682178245819488
184.88361389836248	0.12664665744336792
283.9688261238957	-2.603050425205674
251.30511951634986	-1.7939757760842083
239.33693191107238	-1.2983802559120858
323.35769692184266	-3.571821385432227
260.4784098575539	-1.7018569292070593
240.15236807386643	-0.7239474221326461
388.4155707549692	-5.789008107863364
231.75543008817198	-0.9785617484305139
376.4498200140979	-4.968171629039372
238.2470766128205	-1.2848425477762617
174.28573248745587	0.49152948424222986
110.56331632462765	2.5084620478537287
196.8148742513167	-0.2814610197046848
278.92753593331355	-2.313943725800017
315.74108088157834	-3.1224332333048874
225.3569266750116	-0.8150985509363464
316.11870854285684	-3.6554121065706116
225.259376480529	-0.8162440387204748
253.20451822885528	-1.6987838628156742
321.0879809565608	-3.4839604054126876
307.55508320687915	-3.3778858441849424
256.9660602922725	-1.8505550522322751
143.846514748701	1.353229696489423
312.18570248744476	-3.2599999496685528
283.3984553929782	-2.5344471013602643
251.6957677898154	-1.4687636715941392
244.35425817107475	-1.443825464408585
263.24366712656837	-1.9863439251126191
421.88080290337757	-6.435823846682786
537.433055088204	-9.400198272488083
311.17415132236664	-3.0740405976091996
249.5554064266753	-0.9816882329216834
282.81647381466166	-2.363526081458518
279.6587231863286	-2.6209775937084223
129.96770711555024	1.8504358250092727
296.5927602537791	-2.730680440085263
233.48464819960577	-1.2131587451750803
286.318832716899	-2.598851072270581
259.8594469425161	-2.143750951711444
251.28347388635984	-1.443860224317082
238.43982511899407	-1.3186816426883092
289.3409701861122	-2.7693717407366125
279.85314012858464	-2.7179268312971585
294.6142110108852	-2.540671917852986
288.65018817004545	-2.593484928600251
323.5072208604437	-3.16101146111208
318.2985315566013	-3.8468244910419886
239.33672950589403	-1.0171803181640067
158.32388832681178	0.8726102709453215
292.9837279262051	-2.6306630900387042
223.71202109131846	-1.0259571850771323
204.6348028752173	-0.4846759120171492
250.87592630849198	-1.7287786278416566
232.649159059833	-0.6945513864446743
237.3714266883371	-1.4487771614028753
385.13208103481907	-5.382508941830823
322.54278950336015	-3.7707123627200527
231.37910246379963	-0.8347676216361221
266.41791980879935	-1.8665650620962964
132.06417669718078	1.3893260286868208
271.33054173257693	-2.248715504264256
274.304674838098	-2.652923322953718
346.5324434765236	-4.090281148020189
215.19641708794393	-0.8219085704951418
298.9665340100783	-2.836228860383826
359.2773112569494	-4.780799873877703
321.03631346578175	-3.1687419394997436
271.7774716428108	-2.2748488660401103
