beta1	beta2
66.20148361164976	-0.17797615541496287
89.20782417877129	-0.7561769575830343
80.8249059936463	-0.589622447347064
60.868604766282424	-0.06709605096344894
81.61985472622843	-0.6034859673390377
67.24719375610155	-0.1959123869894027
90.17705356249833	-0.77364744771646
81.26415212325465	-0.6015184810604497
58.451906350126045	-0.008965805300380006
67.93211710102841	-0.24440304428456458
75.99419197164866	-0.4596392624625316
96.81580459061959	-1.0426014482321553
86.19195492500012	-0.6697427248594329
83.14426789686671	-0.5549630615827248
100.98995998483107	-0.9952754488763996
103.35509383317012	-1.020535776283919
88.19564340826065	-0.7665952188905372
69.37542182249918	-0.24839529610785613
80.52417435960422	-0.525274566840196
70.79534204433551	-0.3010777706963692
66.42337202229209	-0.1699109961967167
84.92666300077607	-0.6651238304755539
90.10332196016729	-0.8761526646096803
77.12811146811698	-0.45834306459600616
90.79866911293868	-0.8187133191172382
85.82228577253518	-0.6967270376381002
52.014589424315794	0.12337070383354985
53.99405444365265	0.05927680673300095
64.11420960437586	-0.16817472150100654
81.12773591514404	-0.5776333737434738
218.7827279627191	-5.117241962042735
94.21099332894299	-0.9215878395908411
77.21614565237303	-0.4500390541789531
75.03421077938258	-0.3432225356167216
106.42333167056049	-1.1048472178766957
78.27105418119788	-0.4917317198123128
82.71238579181302	-0.5996844268300864
87.771018713818	-0.8254568386642473
80.30110478363196	-0.46745143329363714
108.36378190249532	-1.2364638159777621
72.38744467373678	-0.4211773383039618
81.74108546279187	-0.4465168775937344
50.702025383296	0.1410906514887361
81.86751694978082	-0.49179330424297873
56.89309143406102	0.044856239229509175
65.85559111117264	-0.1591946547086104
57.50038578572514	-0.025663626948930218
78.88470695091551	-0.4622095328121297
70.82830826349765	-0.3416113364011028
77.87129516259883	-0.5202047770014159
63.510099211695284	-0.12350781221452722
60.4979655325526	-0.05492508024773063
78.03327902686769	-0.5119786001774929
83.57400975571844	-0.652335521114442
89.0102311846328	-0.7366708011584453
84.99559475749689	-0.710194584766071
81.47815884282412	-0.6118605549435977
48.89875153683809	0.1949161568401675
76.7949658638161	-0.4462585829727932
73.2766992730976	-0.3751228180155242
67.38947675500611	-0.2710882888950539
74.888002829186	-0.4576569453068967
80.05830590931537	-0.5356537251110771
49.45674948043374	0.18266651632581293
82.0588950877781	-0.5929938696785165
68.82154382139365	-0.2632700821560852
66.3512041187551	-0.18550605369041262
73.13792678209585	-0.3332046306784955
102.65505373722226	-1.1288647162315484
73.58844736936364	-0.3880884775650106
85.74332941453012	-0.8486360846525947
75.27135618772638	-0.4486445197737285
84.63963348039925	-0.6166517008267972
74.15509006805821	-0.3696407518584445
69.94514805056455	-0.3278568868039536
69.00629545421786	-0.25515452425471696
67.39830789303036	-0.19542065833208183
80.16415731681502	-0.4556130932933619
47.51178815537314	0.3026829955896698
57.80396883461487	0.005413504524160725
53.47678049540278	0.034204730138849476
92.49812672360686	-0.8991405124738986
65.40449290604147	-0.25093212515123686
59.90411117524172	0.008211638920648958
75.65124569775547	-0.4275453886955024
65.30288306042219	-0.1477459351630305
72.08070279737287	-0.43898606013238317
79.37846520243049	-0.47535556552218594
55.334452535992995	0.061509439658129585
80.51110225111492	-0.5077013441988747
91.03895322965809	-0.8019067646907617
66.06319488684095	-0.20731177778896928
75.13383649301419	-0.44132092121904365
82.06063379815808	-0.6088850972668935
78.79734193516681	-0.5500804004040987
67.17913194858241	-0.17058612187196623
57.10247878136012	-0.04420350094581201
114.87547406263256	-1.4262345864008044
96.58226865154387	-1.044107366666988
62.43034908799257	-0.1449501172960043
65.41325786844293	-0.23163573766401382
75.12535914066567	-0.4186189588540148
92.31800153266954	-0.7675391563878727
68.80999348139693	-0.30705890890948045
82.54496564917821	-0.7133174953227296
96.69817853009361	-0.9961341214815902
68.2945733598407	-0.306798407940068
61.042514401399814	-0.1023968030174551
76.15610230746316	-0.33944990432876276
73.69075465460762	-0.3850245689102494
82.10931765954258	-0.5754415859230483
82.83888004756143	-0.630558638013181
98.7648581960772	-0.961128786309437
97.29451385230819	-0.8941040406986405
64.2508773279755	-0.15319177195610562
101.17533424045243	-1.0301438327775139
83.32983809935233	-0.5810434200243287
87.83895777057751	-0.7363864351811252
70.91784984128778	-0.3147486963265212
72.1417540719447	-0.3168063504509285
72.79482038079243	-0.359526165532473
74.64240812620146	-0.3508794118277142
58.0031137626935	-0.050106489220902974
92.73957317395528	-0.7605230326769579
71.606160370266693	-0.2805485813435956
94.69559051185792	-1.0279384879083777
90.49064722483254	-0.7026357222877635
88.75107699032516	-0.8058993376581632
69.56529685214618	-0.2666673187357821
68.18445742929642	-0.2360088097440397
68.86244668698825	-0.3461943282562999
75.82158934548212	-0.4399295309469925
90.68064106856981	-0.7643762452561264
66.60624902076538	-0.2522626408461517
74.51521175973458	-0.42668127044482895
103.99404842006356	-1.2652294816804435
49.13201219679577	0.19415363646240813
58.92312797444381	-0.06438826053862208
78.7513807149925	-0.5691584725074265
75.38682592378201	-0.44801795117693916
90.68888660209358	-0.8190244081150351
62.45067849776571	-0.13415289308075787
62.60089420034499	-0.10842081979583504
92.98214702078005	-0.822329431058602
70.92926775073697	-0.32992215412808107
72.7137720529682	-0.3033062575432387
58.61209235304434	0.035670315746379834
93.14089858281851	-0.8432475143074785
31.71666378999941	0.5662131402291748
60.56912710554697	-0.05272403225710941
61.65915097022691	-0.11740771092948546
79.96773495504996	-0.5837409366898385
83.39542366752642	-0.6326552067843342
86.21901425155217	-0.692804160535898
80.21535341337726	-0.5858116261889607
84.88358851460086	-0.6330685842217776
96.76015452274464	-0.9472047659367218
47.142559271084984	0.305802526660383
68.97418341104212	-0.24152178647533606
78.73935064262659	-0.5527985426255385
81.87994776073779	-0.6260644250665314
82.00068876757936	-0.6002924668595193
79.0206036457848	-0.47614878409024153
83.54105801111075	-0.5527476836086196
92.951109153689	-0.8396429323509054
82.42342758144224	-0.5875359054730722
83.47517698402609	-0.5992618255121
57.94276987130593	0.008991185100886903
89.93446231892057	-0.785416482083707
55.83918548300415	0.04859683734127128
19.6506594346768	0.8440429849385314
63.03524193259215	-0.16380982715077536
104.2428648904279	-1.1965671123177937
56.382338841459735	0.025887789179487645
